# Docs audit URL list: project,url optional third field "keep" (pins row when not in any flow source / docs.json)
# Sync: npm run sync:docs-urls | Legacy bare URLs are read as project CMS (override with DOCS_URL_LEGACY_PROJECT).
project,url
CMS,https://www.contentstack.com/docs/content-managers/author-content/bulk-unpublish-entries
CMS,https://www.contentstack.com/docs/content-managers/author-content/comments-limitations
CMS,https://www.contentstack.com/docs/content-managers/author-content/compare-entry-versions
CMS,https://www.contentstack.com/docs/content-managers/author-content/copy-an-entry
CMS,https://www.contentstack.com/docs/content-managers/author-content/create-a-folder
CMS,https://www.contentstack.com/docs/content-managers/author-content/create-an-entry
CMS,https://www.contentstack.com/docs/content-managers/author-content/create-upload-assets
CMS,https://www.contentstack.com/docs/content-managers/author-content/delete-a-folder
CMS,https://www.contentstack.com/docs/content-managers/author-content/delete-an-asset
CMS,https://www.contentstack.com/docs/content-managers/author-content/delete-an-entry
CMS,https://www.contentstack.com/docs/content-managers/author-content/edit-an-asset
CMS,https://www.contentstack.com/docs/content-managers/author-content/edit-an-entry
CMS,https://www.contentstack.com/docs/content-managers/author-content/edit-or-delete-a-comment
CMS,https://www.contentstack.com/docs/content-managers/author-content/entries-limitations
CMS,https://www.contentstack.com/docs/content-managers/author-content/entries-list-overview
CMS,https://www.contentstack.com/docs/content-managers/author-content/export-an-entry
CMS,https://www.contentstack.com/docs/content-managers/author-content/filter-assets
CMS,https://www.contentstack.com/docs/content-managers/author-content/generate-a-permanent-asset-url
CMS,https://www.contentstack.com/docs/content-managers/author-content/import-an-entry
CMS,https://www.contentstack.com/docs/content-managers/author-content/json-rich-text-editor-for-content-managers
CMS,https://www.contentstack.com/docs/content-managers/author-content/limitations-of-bulk-operations-on-entries
CMS,https://www.contentstack.com/docs/content-managers/author-content/limitations-of-live-preview
CMS,https://www.contentstack.com/docs/content-managers/author-content/limitations-on-asset-folders
CMS,https://www.contentstack.com/docs/content-managers/author-content/live-preview-real-world-scenarios
CMS,https://www.contentstack.com/docs/content-managers/author-content/make-changes-to-existing-content-types
CMS,https://www.contentstack.com/docs/content-managers/author-content/mention-users-or-roles-in-a-comment
CMS,https://www.contentstack.com/docs/content-managers/author-content/move-a-folder
CMS,https://www.contentstack.com/docs/content-managers/author-content/move-assets-to-folder-in-bulk
CMS,https://www.contentstack.com/docs/content-managers/author-content/name-asset-versions
CMS,https://www.contentstack.com/docs/content-managers/author-content/name-entry-versions
CMS,https://www.contentstack.com/docs/content-managers/author-content/omnichannel-content-preview-experience
CMS,https://www.contentstack.com/docs/content-managers/author-content/permanent-asset-url-limitations
CMS,https://www.contentstack.com/docs/content-managers/author-content/permanent-asset-urls
CMS,https://www.contentstack.com/docs/content-managers/author-content/preview-content-across-multiple-channels
CMS,https://www.contentstack.com/docs/content-managers/author-content/preview-content-across-varied-window-sizes
CMS,https://www.contentstack.com/docs/content-managers/author-content/preview-content-on-different-environments
CMS,https://www.contentstack.com/docs/content-managers/author-content/preview-entry
CMS,https://www.contentstack.com/docs/content-managers/author-content/publish-an-asset
CMS,https://www.contentstack.com/docs/content-managers/author-content/publish-an-entry
CMS,https://www.contentstack.com/docs/content-managers/author-content/relink-a-discussion
CMS,https://www.contentstack.com/docs/content-managers/author-content/remove-entry-version-names
CMS,https://www.contentstack.com/docs/content-managers/author-content/rename-a-folder
CMS,https://www.contentstack.com/docs/content-managers/author-content/rename-asset-versions
CMS,https://www.contentstack.com/docs/content-managers/author-content/rename-entry-versions
CMS,https://www.contentstack.com/docs/content-managers/author-content/reopen-a-discussion
CMS,https://www.contentstack.com/docs/content-managers/author-content/reply-to-a-comment
CMS,https://www.contentstack.com/docs/content-managers/author-content/resolve-a-discussion
CMS,https://www.contentstack.com/docs/content-managers/author-content/restore-deleted-content
CMS,https://www.contentstack.com/docs/content-managers/author-content/restore-old-asset-version
CMS,https://www.contentstack.com/docs/content-managers/author-content/restore-old-entry-version
CMS,https://www.contentstack.com/docs/content-managers/author-content/restore-updated-content
CMS,https://www.contentstack.com/docs/content-managers/author-content/save-in-progress-entry
CMS,https://www.contentstack.com/docs/content-managers/author-content/taxonomy-based-content-filtering-on-entry-list-page
CMS,https://www.contentstack.com/docs/content-managers/author-content/track-and-edit-content-in-real-time
CMS,https://www.contentstack.com/docs/content-managers/author-content/understanding-asset-url
CMS,https://www.contentstack.com/docs/content-managers/author-content/understanding-entry-versions
CMS,https://www.contentstack.com/docs/content-managers/author-content/understanding-non-localizable-exceptions-for-content-managers
CMS,https://www.contentstack.com/docs/content-managers/author-content/unpublish-an-asset
CMS,https://www.contentstack.com/docs/content-managers/author-content/unpublish-an-entry
CMS,https://www.contentstack.com/docs/content-managers/author-content/view-discussions-timeline
CMS,https://www.contentstack.com/docs/content-managers/author-content/view-entry-collaborators
CMS,https://www.contentstack.com/docs/content-managers/author-content/view-entry-references
CMS,https://www.contentstack.com/docs/content-managers/author-content/working-with-entry-tabs
CMS,https://www.contentstack.com/docs/content-managers/create-and-manage-releases/about-releases
CMS,https://www.contentstack.com/docs/content-managers/create-and-manage-releases/add-entry-asset-to-a-release
CMS,https://www.contentstack.com/docs/content-managers/create-and-manage-releases/clone-a-release
CMS,https://www.contentstack.com/docs/content-managers/create-and-manage-releases/create-a-new-release
CMS,https://www.contentstack.com/docs/content-managers/create-and-manage-releases/delete-a-release
CMS,https://www.contentstack.com/docs/content-managers/create-and-manage-releases/deploy-a-release
CMS,https://www.contentstack.com/docs/content-managers/create-and-manage-releases/edit-a-release
CMS,https://www.contentstack.com/docs/content-managers/create-and-manage-releases/lock-a-release
CMS,https://www.contentstack.com/docs/content-managers/create-and-manage-releases/releases-limitations
CMS,https://www.contentstack.com/docs/content-managers/create-and-manage-releases/remove-entry-asset-from-a-release
CMS,https://www.contentstack.com/docs/content-managers/create-and-manage-releases/unlock-a-release
CMS,https://www.contentstack.com/docs/content-managers/create-and-manage-releases/update-release-items-to-their-latest-versions
CMS,https://www.contentstack.com/docs/content-managers/live-preview/about-live-preview
CMS,https://www.contentstack.com/docs/content-managers/live-preview/limitations-of-live-preview
CMS,https://www.contentstack.com/docs/content-managers/preview-sharing/about-preview-sharing
CMS,https://www.contentstack.com/docs/content-managers/preview-sharing/add-a-review-comment
CMS,https://www.contentstack.com/docs/content-managers/preview-sharing/limitations-for-preview-sharing
CMS,https://www.contentstack.com/docs/content-managers/preview-sharing/reopen-a-review-comment
CMS,https://www.contentstack.com/docs/content-managers/preview-sharing/reply-to-a-review-comment
CMS,https://www.contentstack.com/docs/content-managers/preview-sharing/resolve-a-review-comment
CMS,https://www.contentstack.com/docs/content-managers/preview-sharing/share-a-preview
CMS,https://www.contentstack.com/docs/content-managers/preview-sharing/understanding-comments-in-visual-builder-and-preview-sharing
CMS,https://www.contentstack.com/docs/content-managers/search-content/about-bulk-operations-on-search-results
CMS,https://www.contentstack.com/docs/content-managers/search-content/about-localization-operator
CMS,https://www.contentstack.com/docs/content-managers/search-content/about-search
CMS,https://www.contentstack.com/docs/content-managers/search-content/about-views
CMS,https://www.contentstack.com/docs/content-managers/search-content/advanced-search
CMS,https://www.contentstack.com/docs/content-managers/search-content/basic-search
CMS,https://www.contentstack.com/docs/content-managers/search-content/delete-entries-and-assets-in-bulk
CMS,https://www.contentstack.com/docs/content-managers/search-content/get-localized-entries
CMS,https://www.contentstack.com/docs/content-managers/search-content/limitations-for-search
CMS,https://www.contentstack.com/docs/content-managers/search-content/localization-operator-real-world-scenarios
CMS,https://www.contentstack.com/docs/content-managers/search-content/partial-search
CMS,https://www.contentstack.com/docs/content-managers/search-content/publish-entries-and-assets-in-bulk
CMS,https://www.contentstack.com/docs/content-managers/search-content/quick-search
CMS,https://www.contentstack.com/docs/content-managers/search-content/save-your-views
CMS,https://www.contentstack.com/docs/content-managers/search-content/shared-views
CMS,https://www.contentstack.com/docs/content-managers/search-content/supported-operators-for-various-data-types
CMS,https://www.contentstack.com/docs/content-managers/search-content/unpublish-entries-and-assets-in-bulk
CMS,https://www.contentstack.com/docs/content-managers/search-content/use-filters
CMS,https://www.contentstack.com/docs/content-managers/search-content/use-saved-views
CMS,https://www.contentstack.com/docs/content-managers/timeline/about-timeline
CMS,https://www.contentstack.com/docs/content-managers/timeline/audience-preview
CMS,https://www.contentstack.com/docs/content-managers/timeline/limitations-for-timeline
